IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.19.217.143,4,4,0.00,153.79,0.00
104.19.108.202,4,4,0.00,156.99,0.00
104.19.40.15,4,4,0.00,158.64,0.00
104.16.37.84,4,4,0.00,159.33,0.00
104.17.157.59,4,4,0.00,159.84,0.00
104.17.238.169,4,4,0.00,164.53,0.00
162.159.255.114,4,4,0.00,166.09,0.00
104.19.251.178,4,4,0.00,167.97,0.00
198.41.221.35,4,4,0.00,173.54,0.00
104.21.93.11,4,4,0.00,173.78,0.00
